Reference,Ele principle,Ele Principle num,Sensing,Sensing num,Print,Print num,M0,M,Delta Er,Rel Sensitivity,Directly Printed,Mat,Mat num,Custom mat,Print concat,Sens concat,DOI
P. Wei et al. 2019,Piezoresistive,1,Material,1,DIW,2,0,1,8.00E-01,0.8,b,Carbon,1,b,DIW-b,Material-b,10.1002/admt.201900315
W. Yan et al. 2023,Piezoresistive,1,Auxetic,2,DIW,2,0,0.31,5.65E+00,18.23,b,Carbon,1,b,DIW-b,Auxetic-b,10.1016/j.cjmeam.2023.100073
B. Gackowski et al. 2023,Piezoresistive,1,Material,1,FDM/DIW,3,0,0.1,1.50E+00,15,b,Carbon,1,b,FDM/DIW-b,Material-b,10.1016/j.compositesb.2023.110796
G. Liu et al. 2024,Piezoresistive,1,Material,1,FDM/DIW,3,0,0.35,6.00E-01,1.714285714,b,Metal,2,b,FDM/DIW-b,Material-b,10.1080/19475411.2024.2312356
P. Karipoth et al. 2023,Piezoresistive,1,Material,1,AJP,4,0,0.0077,1.42E-01,18.44155844,b,Carbon,1,b,AJP-b,Material-b,10.1002/adem.202301275
P. Karipoth et al. 2023,Piezoresistive,1,Material,1,AJP,4,0,-0.0077,-4.34E-01,99.5823964,b,Carbon,1,b,AJP-b,Material-b,10.1002/adem.202301275
T. Rahman et al. 2018,Piezoresistive,1,Material,1,AJP,4,0,0.001,3.28E-03,3.28,b,Metal,2,a,AJP-b,Material-a,10.1063/1.4999076
Y. Zhang et al. 2023,Piezoresistive,1,Material,1,AJP,4,0,0.25,5.80E+00,23.2,b,Metal,2,b,AJP-b,Material-b,10.3390/nano13010181
Q. Mu et al. 2017,Piezoresistive,1,Material,1,DLP,5,0,0.021,8.00E-01,38.0952381,b,Carbon,1,b,DLP-b,Material-b,10.1016/j.addma.2017.08.011
T. Xiao et al. 2021,Piezoresistive,1,Material,1,DLP,5,0,0.6,3.80E+00,6.333333333,b,Carbon,1,b,DLP-b,Material-b,10.1002/admt.202000745
Z. Pei et al. 2021,Piezoresistive,1,Porous,4,DLP,5,0,0.675,1.78E+00,2.64,a,Carbon,1,b,DLP-a,Porous-b,10.1002/admt.202100038
T. Resendes et al. 2024,Piezoresistive,1,Material,1,SLS,7,0,0.04,1.54E+00,38.51508121,a,Wire,4,a,SLS-a,Material-a,10.1007/s40964-024-00615-y
Q. Mu et al. 2017,Capacitance,2,Displacement,6,DLP,5,0,-0.7,1.60E-01,0.228571429,b,Carbon,1,b,DLP-b,Displacement-b,10.1016/j.addma.2017.08.011
K. Babkovi? et al. 2023,Inductance,3,Alignment,7,FDM,1,0,17.33,1.21E-01,0.007010694,a,Wire,4,a,FDM-a,Alignment-a,10.1109/TMAG.2022.3218025
M. Kisi? et al. 2023,Inductance,3,Alignment,7,FDM,1,0,20,-4.24E-01,0.036842105,a,Wire,4,a,FDM-a,Alignment-a,10.1109/INTERMAGShortPapers58606.2023.10228698
C. Okutani et al. 2022,Inductance,3,Displacement,6,SLA,6,0,1,-1.51E-01,0.178343949,a,Wire,4,a,SLA-a,Displacement-a,10.1002/admt.202101657
M. Kisi? et al. 2023,Frequency,4,Alignment,7,FDM,1,0,20,1.63E-01,0.008148893,a,Wire,4,a,FDM-a,Alignment-a,10.1109/INTERMAGShortPapers58606.2023.10228698
